web-scraper-order,web-scraper-start-url,rooms_area_price_raw,price_raw,address_raw,description_raw,title_raw,area_raw,rooms_raw
"1726673552-21","https://www.immoscout24.ch/de/immobilien/mieten/ort-winterthur?pn=4","3.5 Zimmer","CHF 1’590.–","Guggenbühlstrasse 4, 8404 Winterthur","Ab 1. November 2024 vermieten wir an zentraler Lage eine helle 3.5-Zimmer-Wohnung im 7.OG. Wohnungsbeschrieb: - Parkettboden in allen Wohnräumen - Küche mit Geschirrspüler - Balkon mit herrlicher Aussicht - Badezimmer mit Badewanne - Waschmaschine und Tumbler zur Mitbenutzung- Lift vorhanden Umgebung: - Kindergarten, Schule in der nahen Umgebung - Nahegelegener Autobahnanschluss - Migros, Post und Apotheke in wenigen Schritten erreichbar Bei den Fotos handelt es sich um Musterfotos von gleichwertig renovierten Wohnungen im gleichen Gebäude. Überzeugen Sie sich am besten gleich vor Ort von dieser Wohnung. Der Besichtigungstermin findet wie folgt statt: Mittwoch, 18. September 2024 von 17:30 bis 18:30 Uhr Frau Schürch nimmt Sie gerne in Empfang. Ein Anmeldeformular erhalten Sie ebenfalls bei der Besichtigung vor Ort. Bei Fragen stehen wir Ihnen gerne zur Verfügung und wünschen viel Freude bei der Besichtigung.","Weitblick aus dem 7.OG geniessen","70m²","3.5 Zimmer"
"1726673552-22","https://www.immoscout24.ch/de/immobilien/mieten/ort-winterthur?pn=4","2.5 Zimmer","CHF 1’685.–","Langgasse 92, 8400 Winterthur","Wir vermieten per 1. Oktober 2024 diese tolle, moderne 2.5-Zimmerwohnung im 3. Obergeschoss an der Langgasse 92, 8400 Winterthur.Alle Vorzüge auf einen Blick: • Grundriss ca. 45 m2 • Lage 3. Obergeschoss • edler Parkettboden in Korridor, Wohn- und Schlafzimmer • dunkle Plattenboden in Küche und Badezimmer (Dusche) • moderne Küche mit Kühlschrank + integriertem Gefrierfach, Geschirrspüler, Glaskearmik Kochfeld und Naturstein Arbeitsflächen • Garderobe mit Einbauschrank • Balkon • Kellerabteil Informationen zum Standort:Die Liegenschaft Langgasse 92, Winterthur überzeugt durch ihren zentralen aber sehr ruhigen Standort, unweit der Einkaufs- und Flaniermeile von Winterthur.Der Campus Technikumstrasse - ZHAW School of Engineering Winterthur ist vier Gehminuten entfernt. Mit dem Bus Haltestelle Technikumerreichen Sie den Bahnhof Winterthur und weitere Einkaufsmöglichkeiten in fünf oder zu Fuss in zehn Minuten. Die Autobahnausfahrt 1 (A1) Winterthur Töss ist nur 7 Autominuten, ca. 3.6 km entfernt. Wir freuen uns auf Ihre Kontaktaufnahme!Freundliche GrüsseH&amp;B Real Estate AG","ruhig und zentral gelegene 2.5 Zimmerwohnung","45m²","2.5 Zimmer"
"1726673552-23","https://www.immoscout24.ch/de/immobilien/mieten/ort-winterthur?pn=4","3 Zimmer","CHF 1’920.–","Tösstalstr. 285, 8405 Winterthur","Per sofort oder nach Vereinbarung, vermieten wir diese sanierte, geräumige 3 Zi.-Wohnung. • Neue, offene Küche mit Granit- Arbeitsfläche, Glaskeramik, Geschirrspüler etc. • Schönes Badezimmer. • Nasszellen mit Bodenplatten; Parkett und Laminat in den Räumen. • Angenehme Nachbarschaft. • Das Shopping Center ""Seen"" und diverse Einkaufsmöglichkeiten befinden sich in der Nähe. Zögern Sie nicht und rufen Sie unbverbindlich an um einen Besichtigungstermin zu vereinbaren.","Neusanierte 3 Zi.-Wohnung in Winterthur Seen","","3 Zimmer"
"1726673552-24","https://www.immoscout24.ch/de/immobilien/mieten/ort-winterthur?pn=4","1.5 Zimmer","CHF 1’380.–","Friedhofstrasse 8, 8406 Winterthur","Frisch saniert - tolle SinglewohnungPer 01.10.2024 oder nach Vereinbarung vermieten wir eine schmucke und helle 1.5-Zimmer-Wohnung im 1.OG an der Friedhofstrasse 8 in 8406 Winterthur.Nachfolgend sind einige Highlights dieser Wohnung aufgeführt: • Wohnung wurde in den Jahren 2015/2024 sehr umfassend saniert. Es wurden natürliche Materialien verbaut (Kork, Kalziumsilikatplatten, mineralische Farben usw.). • Neuwertige Einbauküche mit Granit und Glaskeramikherd • Grosszügige Einbauschränke • Glasfaseranschluss • Sonniger und gemütlicher Balkon (nicht einsehbar) • Echtholzparkett im Wohn-/Schlafbereich • Kellerabteil im UG Die Liegenschaft befindet sich direkt an der Töss - eingebettet in eine grüne Umgebung, bietet der Standort ideale Voraussetzung für Naturverbundene und zahlreiche Naherholungsmöglichkeiten. In nächster Nähe befindet sich die Bushaltestelle Nägelsee, von wo aus Sie bequem ins Stadtzentrum gelangen und Anschluss an zahlreiche Zugverbindungen finden. Die Einkaufszentren Töss und Lokwerk sowie ein Aldi bieten optimale Einkaufsmöglichkeiten für den täglichen Bedarf. Diese sind bequem auch mit dem Velo zu erreichen. Ein Autoabstellplatz beim Haupteingang kann für CHF 75.- pro Monat dazu gemietet werden. Ein gedeckter Motorradabstellplatz für CHF 40.- pro Monat ist ebenfalls verfügbar.Interessiert? Bei Fragen oder für einen Besichtigungstermin kontaktieren Sie uns gerne via Kontaktformular.","Schmucke Wohnung an der Töss mit sonnigem Balkon","28m²","1.5 Zimmer"
"1726673552-25","https://www.immoscout24.ch/de/immobilien/mieten/ort-winterthur?pn=4","2.5 Zimmer","CHF 1’930.–","Seuzacherstr. 9a, 8400 Winterthur","Hier erwartet Sie eine modernen Wohnung in zentraler Lage mit komfortabler Ausstattung. Das Einkaufszentrum im Haus und die Bushaltestelle vor dem Haus bieten zusätzlichen Komfort und sparen Zeit.- Moderne Wohnung an zentraler Lage- Gesamte Wohnung mit Parkett- Offene Küche mit Glaskeramikherd, Geschirrspüler und Backofen- Badezimmer mit Badewanne- Waschmaschine und Trockner in der Wohnung- Grosszügiger Balkon (Loggia)- Reduit- Kellerabteil- Lift- Minergiewohnüberbauung mit kontrollierter Lüftung- Migros direkt in der Liegenschaft (Einkaufszentrum Rosenberg)- Sehr nahe gelegene Busstation - Einstellplatz für CHF 140.- pro Monat Interessiert? Bewerben Sie sich jetz!Homepage: http://www.james-winterthur.ch","Zentrum Rosenberg: Moderne Wohnung mit eigenem Concierge","66m²","2.5 Zimmer"
"1726673552-26","https://www.immoscout24.ch/de/immobilien/mieten/ort-winterthur?pn=4","4 Zimmer","CHF 1’650.–","Juchstrasse 20, 8400 Winterthur","Per 01. Dezember 2024 vermieten wir die gemütliche Wohnung mit Charme.Besichtigung:Die Besichtigung findet wie folgt ohne Voranmeldung statt:- Mittwoch, 11.09.2024 / 17.00 - 18.00 Uhr- Donnerstag, 12.09.2024 / 18.00 - 19.00 Uhr- Donnerstag, 19.09.2024 / 18.00 - 19.00 UhrSie dürfen bei ""Stadelmann"" klingeln.Ausbaustandard:Die Wohn- sowie Schlafräume sind mit Riemenparkettböden ausgestattet. Die Küche verfügt über den gewohnten Standard. Im Bad/WC wurden Platten verlegt.Lage:Die Wohnung befindet sich in einem ruhigen und gleichzeitig zentrumsnahen Wohnquartier in Winterthur-Veltheim. Den Bahnhof Winterthur erreichen Sie mit dem Fahrrad in nur 4 Minuten. Diverse Einkaufsmöglichkeiten und den öffentlichen Verkehr erreichen Sie ebenfalls in wenigen GehminutenKinder und Jugendliche:Der Kindergarten sowie auch die Schulen sind in der Umgebung vorhanden und können ebenfalls zu Fuss erreicht werden. Direkt vor der Liegenschaft befindet sich ein Spielplatz.Nebenräume / Gemeinsame Räume: Zusätzlich steht Ihnen ein eigenes Kellerabteil sowie ein Veloraum für das ganze Haus zur Verfügung. Waschraum sowie Trocknungsraum befinden sich im Untergeschoss. Parkplatz:Einstellplätze in der Tiefgarage können für CHF 130.00/Mt. / Elektroplätze für CHF 150.00/Mt. dazu gemietet werden.Haben wir Ihr Interesse geweckt? Dann freuen wir uns auf Ihre Onlinebewerbung.Es handelt sich um Beispielbilder, die den Ausbaustandard der Wohnung zeigen und die von der Wohnung abweichen können.","Gemütliche 4.5 Zimmer Wohnung an guter Lage","76m²","4 Zimmer"
"1726673552-27","https://www.immoscout24.ch/de/immobilien/mieten/ort-winterthur?pn=4","4.5 Zimmer","CHF 2’150.–","Juchstrasse 10, 8400 Winterthur","Per 01.12.2024 vermieten wir diese 4.5-Zimmer Wohnung im 1. Stock.Besichtigung:Die Besichtigung findet wie folgt ohne Voranmeldung statt:- Donnerstag,12.09.2024 / 18.30 - 20.00 Uhr- Dienstag, 01.10.2024 / 18.30 - 20.00 Uhr- Dienstag, 22.10.2024 / 18.30 - 20.00 UhrSie dürfen bei ""Eicher"" klingeln.Die Wohnung überzeugt: • Parkettboden in Wohn- und Schlafzimmern • Badezimmer mit Badewanne • Balkon mit Aussicht • Spielplatz Einkaufmöglichkeiten und Schulen befinden sich in der Nähe.Einstellplätze in der Tiefgarage können für CHF 130.00/Mt. / Elektroplätze für CHF 150.00/Mt. dazu gemietet werden.Haben wir Ihr Interesse geweckt? Lassen Sie sich bei einer unverbindlichen Besichtigung vom Flair dieser Wohnung überzeugen.Es handelt sich um Beispielbilder, die den Ausbaustandard der Wohnung zeigen und die von der Wohnung abweichen können.","Gemütliche Wohnung an ruhiger und doch zentraler Lage","104m²","4.5 Zimmer"
"1726673552-28","https://www.immoscout24.ch/de/immobilien/mieten/ort-winterthur?pn=4","2.5 Zimmer","CHF 1’795.–","Rütlistr. 17, 8400 Winterthur","In dieser Wohnung in einem gepflegten Mehrfamilienhaus werden Sie sich sofort wohl fühlen und auf dem Balkon die Ruhe geniessen. Einkaufszentren, die Altstadt und der Anschluss an den öffentlichen Verkehr sind in unmittelbarer Nähe erreichbar.Für Ihre Wohnqualität:- Parkettboden in Wohn- und Schlafzimmer- Offene und modern ausgestattete Küche mit Induktionsherd- Geräumige, offene Wohnküche mit Frühstücksbar, Induktionsherd und Geschirrspüler- Nasszelle mit Dusche und separaten WC mit Plattenboden- Praktische Einbauschränke im KorridorZusätzlich auf Wunsch: Einstellplatz Tiefgarage 130.-/Monat.Interessiert? Dann lohnt sich eine Besichtigung.","Moderne Wohnung mit Charme","70m²","2.5 Zimmer"
"1726673552-29","https://www.immoscout24.ch/de/immobilien/mieten/ort-winterthur?pn=4","3.5 Zimmer","CHF 2’170.–","Aeckerwiesenstr. 24, 8400 Winterthur","In dieser Wohnung erwartet Sie eine ruhige, sonnige Lage im beliebten Blumenauquartier. Die Bushaltestelle und diverse Einkaufsmöglichkeiten sind bequem zu Fuss erreichbar, sodass Sie alle Annehmlichkeiten des täglichen Bedarfs in unmittelbarer Nähe haben.- Grosszügiger Grundriss und moderner Innenausbau- Ganze Wohnung mit Parkett- Küche mit Geschirrspüler, Backofen und Glaskeramik- Modernes Bad/WC mit Doppellavabo und Dachfenster für viel Tageslicht- Separates Gäste WC- Nasszellen und Küche mit Keramischenplatte- Reduit mit eigener Waschmaschine und Tumbler- Sonnige Terrasse- Eigenes KellerabteilInteressiert? Bewerben Sie sich jetz!","Sonniges Wohnen im Herzen des Blumenauquartiers - MIETEN OHNE KAUTION!","109m²","3.5 Zimmer"
"1726673552-30","https://www.immoscout24.ch/de/immobilien/mieten/ort-winterthur?pn=4","2.5 Zimmer","CHF 1’707.–","Ursulaweg 27, 8404 Winterthur","Gemütliche 2.5 Zimmer- Dachwohnung am Ursulaweg wird frei- Ganze Wohnung Parkett- Küche mit Geschirrspüler, Backofen und Glaskeramikherd- Bad/WC mit Badewanne- Sonniger Balkon- Estrich- kein Lift- Ruhige und doch zentrale Wohnlage- Nahe gelegene Einkaufsmöglichkeiten - Nähe Bahnhof ""Wallrüti""Die Fotos zeigen den Standard.","Mögen Sie's grosszügig?","76m²","2.5 Zimmer"
"1726673552-31","https://www.immoscout24.ch/de/immobilien/mieten/ort-winterthur?pn=4","3 Zimmer","CHF 1’755.–","Guggenbühlstrasse 60, 8404 Winterthur","Diese Wohnung ist ruhig und unweit von Freibad, diversen Einkaufsmöglichkeiten und öffentlichem Verkehrsanschluss in Oberwinterthur gelegen. Ausserdem überzeugt die Wohnung mit folgender Ausstattung: - Küche: Angenehme Grösse, gepflegt, einaldend und hell - Korridor: Mit parktischer Garderobe und Einbauschrank - Badezimmer: Badewanne, Unterbaumöbel (ohne Fenster) - Wohnzimmer: Mit Eichenparkettboden und angrenzendem Balkon - Schlafzimmer: Mit Eichenparkettboden und Fenster ausgestattet - Plattenbodenbeläge: in übrigen Räume: Küche, Korridor und Bad - Weiterer Stauraum: Mit eigenem Keller- sowie Estrichabteil","Gemütliche Wohnung an zentraler Lage zu vermieten!","68m²","3 Zimmer"
"1726673552-32","https://www.immoscout24.ch/de/immobilien/mieten/ort-winterthur?pn=4","3 Zimmer","CHF 1’845.–","Mooswiesenweg 19, 8404 Winterthur","Wir vermieten an toller Lage eine schöne und moderne Wohnung, welche über folgende Highlights verfügt: - Parkettboden im Wohnzimmer - Marmoleumböden in Schlaf- und Kinderzimmer - Plattenböden in Küche, Bad und Korridor - Grosse Küche mit Glaskeramik - Grosszügiger und sonniger Balkon mit Wind-/Sichtschutz. - Je ein Keller- und Estrichabteil. ÖV, Schulen, und Einkaufsmöglichkeiten sind in nächster Nähe. Ein Auto-Einstellplatz für CHF 130.00 im Monat kann dazugemietet werden.Haben wir Ihr Interesse geweckt? Dann melden Sie sich noch heute für einen Besichtigungstermin!(Die Fotos zeigen den Standard, Abweichungen sind möglich)","Schöne und gemütliche Wohnung mit ruhiger & zugleich zentrumsnaher Wohnlage!","65m²","3 Zimmer"
